epoch,mem_available_kib,cached_kib,swap_free_kib
1787923113,3783844,3361656,13589288
1787923118,3783208,3361660,13589304
1787923123,3818220,3361792,13589308
1787923128,3802208,3361556,13589308
1787923133,3824164,3361792,13589308
1787923139,3894704,3355200,13589312
1787923144,3840764,3355472,13589312
1787923149,3901144,3375464,13589312
1787923154,3846052,3353212,13589312
1787923159,3795396,3353400,13589312
1787923164,3804672,3353212,13589312
1787923169,3807244,3353444,13589312
1787923174,3787904,3353444,13589316
1787923179,3810968,3353880,13589316
1787923184,3828892,3353444,13589476
1787923189,3793180,3353444,13589476
1787923194,3791676,3353444,13589476
1787923199,3799492,3353532,13589476
1787923204,3817968,3353596,13589476
1787923209,3814344,3353832,13589476
1787923214,3914944,3351448,13589484
1787923219,3830648,3351456,13589484
1787923224,3920700,3349316,13589488
1787923229,3871212,3349440,13589488
1787923234,3854912,3357548,13589496
1787923239,3817840,3349324,13589508
1787923244,3808088,3349504,13589508
1787923249,3775096,3349900,13589508
1787923254,3774524,3352448,13589508
1787923259,3805752,3352064,13589508
1787923264,3775984,3352092,13589508
1787923269,3819320,3352340,13589508
1787923274,3811096,3352816,13589512
1787923279,3795388,3352004,13589512
1787923284,3802964,3388508,13589512
1787923289,3897884,3348880,13589512
1787923294,3851088,3348880,13589512
1787923299,3894316,3345804,13589512
1787923304,3843432,3345808,13589516
1787923309,3860200,3345464,13589520
1787923314,3852660,3345824,13589520
1787923319,3839128,3345844,13589520
1787923324,3812712,3345824,13589520
1787923329,3814500,3345824,13589520
1787923334,3802784,3385468,13589520
1787923339,3802012,3345824,13589520
1787923344,3818364,3346192,13589520
1787923349,3796272,3386960,13589520
1787923354,3818216,3345824,13589520
1787923359,3910060,3343124,13589524
1787923364,3888044,3343124,13589524
1787923369,3930788,3340608,13589524
1787923374,3877816,3340608,13589524
1787923379,3873064,3340476,13589524
1787923384,3853292,3380200,13589524
1787923389,3843592,3341040,13589524
1787923394,3841224,3340908,13589524
1787923399,3805104,3341140,13589528
1787923404,3809132,3343440,13589536
1787923409,3803744,3343440,13589536
1787923414,3816044,3343440,13589536
1787923419,3814872,3343440,13589536
1787923424,3843640,3343440,13589536
1787923429,3800864,3343440,13589536
1787923434,3878564,3341140,13589536
1787923439,3863388,3341128,13589536
1787923444,3921936,3338632,13589536
1787923449,3867932,3338972,13589536
1787923454,3838304,3338816,13589536
1787923459,3837724,3338672,13589536
1787923464,3825324,3377516,13589540
1787923469,3836548,3338612,13589540
1787923474,3833172,3339220,13589540
1787923479,3800284,3338592,13589548
1787923484,3829512,3338864,13589580
1787923489,3857780,3338864,13589580
1787923494,3856916,3338724,13589580
1787923499,3832096,3338864,13589580
1787923504,3746976,3420560,13589592
1787923509,3880736,3417704,13589620
1787923514,3951112,3213772,13566440
1787923519,3851036,3214772,13566448
1787923524,3776396,3222604,13566448
1787923529,3797800,3222628,13566448
1787923534,3760292,3223684,13566448
1787923539,3805092,3223672,13566468
1787923544,3841680,3224120,13566476
1787923549,3842240,3224120,13566476
1787923554,3827224,3223708,13566476
1787923559,3757576,3224588,13566544
1787923564,3682164,3240368,13571232
1787923569,3722504,3240788,13571232
1787923574,3858216,3240608,13571548
1787923579,3892612,3239884,13571548
1787923584,3885652,3277608,13571548
1787923589,3879804,3236944,13571548
1787923594,3901920,3236948,13571556
1787923599,3884124,3236944,13571572
1787923604,3927880,3234840,13571572
1787923609,3864528,3234856,13571584
1787923614,3868656,3234856,13571584
1787923619,3884000,3234492,13571584
1787923624,3874408,3234856,13571584
1787923629,3881640,3234812,13571584
1787923634,3895756,3234856,13571584
1787923639,3885596,3234856,13571584
1787923644,3896436,3234640,13571584
1787923649,3877660,3234988,13571584
1787923654,3895856,3234860,13571584
1787923659,3871368,3237680,13571588
1787923664,3954184,3241252,13571588
1787923669,3900988,3236696,13571588
1787923674,3956944,3235724,13571588
1787923679,3921200,3236252,13571588
1787923684,3886200,3236368,13571588
1787923689,3876656,3248560,13571588
1787923694,3861360,3254304,13571588
1787923699,4030912,3260292,13571744
1787923704,4052072,3260304,13571744
1787923709,4057244,3260308,13571756
1787923714,4065684,3260304,13571756
1787923719,4066248,3260308,13571764
1787923724,4066252,3260308,13571788
